STATO,NOME,TIPO,TELEFONO,INDIRIZZO,PROPRIETARIO,EMAIL,SITO,NOTE_SEBASTIANO
NUOVA_DA_CHIAMARE,Ristorante Persiano Khatoon,Ristorante,+39 351 3444296,"Corso Italia 38, 39100 Bolzano",Khatoon,,,
NUOVA_DA_CHIAMARE,Ristorante Pizzeria Veruska,Ristorante,+39 0471 977046,"Via Andreas Hofer 8, 39100 Bolzano",Veruska,,,
NUOVA_DA_CHIAMARE,Caffetteria da Libero,Ristorante,+39 0471 500295,"Via Alessandria 19, 39100 Bolzano",Libero,,,
NUOVA_DA_CHIAMARE,Passione Pizza da Angelo (Don Bosco),Ristorante,+39 0471 917021,"Via Milano 134, 39100 Bolzano",Angelo,,,
NUOVA_DA_CHIAMARE,Ristorante Carmen,Ristorante,+39 0471 911510,"Via Rovigo 82, 39100 Bolzano",Carmen,,,
NUOVA_DA_CHIAMARE,Ristorante Pizzeria da Angelo,Ristorante,+39 0471 911074,"Via Palermo 37, 39100 Bolzano",Angelo,,,
NUOVA_DA_CHIAMARE,Salewa Bivac,Ristorante,+39 0471 1881447,"Via Waltraud-Gebert-Deeg 6, 39100 Bolzano",Salewa,,,
NUOVA_DA_CHIAMARE,Telser,Ristorante,+39 0471 260156,"Galleria Telser 10, 39100 Bolzano",Telser,,,
NUOVA_DA_CHIAMARE,Antico Ristorante Pizzeria da Piero,Ristorante,+39 0471 401343,"Piazza Gries 16, 39100 Bolzano",Piero,,,
NUOVA_DA_CHIAMARE,Osteria da Marco,Ristorante,+39 389 8742475,"Via della Zecca 16, 39100 Bolzano",Marco,,,
NUOVA_DA_CHIAMARE,Mair,Ristorante,+39 0471 913385,"Via Palermo 22/A, 39100 Bolzano",Mair,,,
NUOVA_DA_CHIAMARE,Pizzeria da Gigi,Ristorante,+39 0471 934218,"Via Verona 27, 39100 Bolzano",Gigi,,,
NUOVA_DA_CHIAMARE,Gul Ristorante Indiano,Ristorante,+39 0471 970518,"Via Doktor J. Streiter 2, 39100 Bolzano",Gul,,,
NUOVA_DA_CHIAMARE,Al Ponte,Ristorante,+39 0471 916491,"Via Roma 78, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Albergo Colle,Ristorante,+39 0471 329978,"Colle 11, 39100 Bolzano",,info@kohlern.com,www.kohlern.com,
NUOVA_DA_CHIAMARE,All'Olmo,Ristorante,,"Via Antonio Pacinotti 15, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Alla Corte,Ristorante,+39 0471 261034,"Via Claudia Augusta 121, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Altro che pizza,Ristorante,+39 0471 253587,"Via Roma 53, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Anatolia,Ristorante,+39 389 6360266,"Via Aslago 55, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Bar Bistro Gambrinus,Ristorante,+39 0471 283242,"Viale Duca D'Aosta 21, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Bar Resia Bistró,Ristorante,+39 0471 913074,"Via Resia 166, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Bar Ristorante Hong Kong,Ristorante,+39 0471 400578,"Via Claudia Augusta 25/A, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Batzenhäusl - Ca' de Bezzi,Ristorante,+39 0471 050950,"Via Andreas Hofer 30, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Bistro Lampl,Ristorante,+39 0471 970066,"Via Rencio 53, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Bistro' Dalmazia Bar,Ristorante,+39 0471 910004,"Via Dalmazia 39, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Café Pizzeria Maso della Pieve,Ristorante,+39 0471 250197,"Via Maso della Pieve 9, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Cibus,Ristorante,,"Zona Industriale, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,City Chicken,Ristorante,+39 392 4088313,"Via Firenze 9, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Dom Ristorante al Bocciodromo,Ristorante,+39 0471 917105,"Viale Trieste 17, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Dublin Pub,Ristorante,+39 0471 932979,"Via Luigi Negrelli 13, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,East & West,Ristorante,+39 388 9844400,"Via del Ronco 19/B, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Eureka Caffe,Ristorante,+39 0471 931048,"Via Rovigo 94, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Feng Sheng,Ristorante,+39 0471 273321,"Corso Libertà 64/A, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Fermento,Ristorante,+39 335 8004005,"Via Palermo 11/C, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Fischbanke,Ristorante,+39 340 5707468,"Dr.-Streiter Gasse 28, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Food Clab,Ristorante,+39 391 4670813,"Via Innsbruck 29/A, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Franziskanerstuben,Ristorante,+39 0471 976183,"Via Francescani 7, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Fredi,Ristorante,+39 0471 922877,"Via C. Augusta 16/G, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Funicoli' S.a.s.,Ristorante,+39 0471 931716,"Via Palermo 10, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Good Day Cafè,Ristorante,+39 327 0714000,"Corso Libertà 14, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Gyros Atene Bar,Ristorante,+39 345 5892824,"Via Resia 49, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Il Caffè Borbone,Ristorante,+39 0471 1817554,"Via della Visitazione 16/C, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Il Vascello,Ristorante,+39 327 7720732,"Corso Italia 27, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,L'Osteria,Ristorante,+39 327 7950513,"Via Torino 82, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,La Grolla,Ristorante,+39 0471 920101,"Viale Druso 98, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,La Piadineria,Ristorante,+39 0471 914567,"Via G. Galilei 20, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,La Piadineria Romagnola,Ristorante,+39 0471 914516,"Via Dalmazia 77/C, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Marechiaro,Ristorante,+39 0471 402319,"Via Vicenza 14, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Nadamas,Ristorante,+39 0471 980684,"Piazza delle Erbe 43/44, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,New Pizza Kebab Service,Ristorante,+39 389 7994714,"Corso Libertà 76, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Ni Hao,Ristorante,+39 0471 280776,"Via Vittorio Veneto 23, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Nihao S.r.l.,Ristorante,+39 0471 289269,"Piazza Mazzini 15, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Nihao S.r.l. (Europa),Ristorante,+39 0471 933145,"Viale Europa 60, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Noisteria,Ristorante,+39 388 8228895,"Via Volta 15, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Nto Ziffredu,Ristorante,+39 0471 913366,"Via Bari 33, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Nuova Capri,Ristorante,+39 0471 930865,"Via Resia 67, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Piccerella Pizzeria e Friggitoria,Ristorante,+39 0471 224511,"Via Cesare Battisti 25, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Pizza Okey,Ristorante,+39 0471 203699,"Via Werner Von Siemens 4, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Pizza al Chiosco,Ristorante,+39 0471 1922690,"Viale Trieste 19/B, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Pizza e Dintorni,Ristorante,+39 0471 272261,"Viale Duca D'Aosta 28/A, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Pizzacall,Ristorante,+39 0471 059400,"Via Marconi 19, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Pizzeria Doppiozero,Ristorante,,"Via Maso della Pieve 2/E, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Punjabi Tadka Indian Restaurant,Ristorante,+39 349 0051312,"Via Renon 14, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Real Frabe S.r.l.,Ristorante,+39 0471 052788,"Via Volta 3, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Restaurant 37,Ristorante,,"Bolzano Centro, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Restaurant Pizzeria Gambrinus,Ristorante,+39 0471 270887,"Via Antonio Locatelli 8, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Ristorante Castel Flavon,Ristorante,+39 0471 402130,"Via Castel Flavon 48, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Ristorante Grissino,Ristorante,+39 0471 056888,"Via del Macello 53, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Ristorante Stella Alpina,Ristorante,,"Via Claudia Augusta 97a, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Ristoro Imbiss Kampill,Ristorante,+39 0471 323623,"Via Hildegard Straub 23, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Rockin Beets,Ristorante,+39 388 3684746,"Via Rovigo 24, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Saint Patrick,Ristorante,+39 333 8849271,"Via Fago 46/C, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Shalla Pizza,Ristorante,+39 0471 1941610,"Via Rovigo 24/A, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Thai - Oriental,Ristorante,+39 0471 280078,"Piazza Mazzini 35, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,The Raum,Ristorante,+39 0471 253792,"Via Galilei 10/E, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Tip Top,Ristorante,+39 0471 281330,"Via San Vigilio 35, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Tree Brasserie,Ristorante,+39 0471 1532377,"Via Piave 15, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Un Melograno Ristorante,Ristorante,+39 0471 266648,"Via Verona 6, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,Vesuvio,Ristorante,+39 0471 917161,"Viale Trieste 44, 39100 Bolzano",,,,
NUOVA_DA_CHIAMARE,WineBistro Gries 13,Ristorante,+39 0471 1632477,"Piazza Gries 13, 39100 Bolzano",,,www.gries13.it,
NUOVA_DA_CHIAMARE,Zushi,Ristorante,+39 0471 283440,"Corso Italia 13, 39100 Bolzano",,,,
